"stop_id","stop_name","stop_desc","stop_lat","stop_lon"
500001783,"Av. Eulina, 439","Ref.: R Vicente Soares Da Costa/ R Fernando Pedrosa",-23.486590,-46.679640
500001791,"R. Quartim Barbosa, 19","Ref.: Av Monte Celeste/ R Prf. Dario Ribeiro",-23.493040,-46.672398
500001792,"R. Quartim Barbosa","Ref.: Av Monte Celeste/ R Prf. Clovis Ribeiro",-23.492493,-46.672415
500001794,"Av. Dep. Emílio Carlos, 1719","Ref.: Av Gaspar Vaz Da Cunha/ R Silverio Goncalves",-23.492081,-46.677158
500001795,"Av. Inajar De Souza, 2527","Ref.: R Delfim Moreira/ R Capitao Jose Machado",-23.484359,-46.680159
500001798,"Av. Inajar De Souza, 1209","Ref.: R Francisco Lotufo/ R Benedito Guedes De Oliveira",-23.494138,-46.685145
500001799,"Av. Inajar De Souza, 905","Ref.: R Ilidio Burgos Lopes/ R Dalvo Matos Dedecca",-23.497918,-46.685136
500001800,"Av. Inajar De Souza, 903","Ref.: R Monsenhor Brandao/ R Monsenhor Brandao",-23.500104,-46.686553
500001807,"R. Vicente Soares Da Costa, 99","Ref.: R Inacio Leitao/ R Prf. Henrique Jose De Souza",-23.486738,-46.680928
500001808,"Av. Dep. Emílio Carlos, 1355","Ref.: R Dos Rodrigues/ R Piracanjuba",-23.494266,-46.678245
500001815,"Av. Eulina, 47","Ref.: Av Dep. Emilio Carlos/ R Miguel Gustavo",-23.488213,-46.676283
500001816,"Av. Eulina, 62","Ref.: Av Dep. Emilio Carlos/ R Miguel Gustavo",-23.488063,-46.676330
500001817,"Av. Monte Celeste","Ref.: Pc Darcilandia/ R Clara Fernandes",-23.493234,-46.675205
500001819,"R. Prof. Dario Ribeiro, 569","Ref.: R Otavio Barreto/ R Gen. Mello Rezende",-23.493258,-46.672644
500001820,"R. Prof. Dario Ribeiro, 163","Ref.: R Cassilandia/ R Pe. Priule",-23.494618,-46.676100
500001821,"Av. Gaspar Vaz Da Cunha, 70","Ref.: R Pe. Priule/ R Cassilandia",-23.494354,-46.677560
500001822,"Av. Dep. Emílio Carlos, 2016","Ref.: R Thomaz Antonio Villani/ R Miguel Gustavo",-23.489697,-46.675353
500001823,"Av. Dep. Emílio Carlos, 1971","Ref.: R Thomaz Antonio Villani/ R Miguel Gustavo",-23.489825,-46.675438
500001824,"Av. Eulina, 225","Ref.: R Cel. Gonzaga De Carvalho/ R Alessandro Allori",-23.487445,-46.677782
500001825,"Av. Eulina, 242","Ref.: R Alessandro Allori/ R Cel. Gonzaga De Carvalho",-23.487243,-46.677837
500001833,"Av. Prof. Celestino Bourroul, 210","Ref.: R Doverlandia/ Av Otaviano Alves De Lima",-23.511774,-46.672914
500001890,"R. Cesar Penna Ramos, 1552","Ref.: R Dr. Fleury Silveira/ R Quartim Barbosa",-23.489815,-46.673292
500001891,"R. Cesar Penna Ramos, 1533","Ref.: R Quartim Barbosa/ R Dr. Fleury Silveira",-23.489673,-46.673246
500001892,"R. Cesar Penna Ramos, 1382","Ref.: R Nilceo Marques De Castro/ R Salomao Maierovitch",-23.488403,-46.673442
500001893,"R. Cesar Penna Ramos, 1311","Ref.: R Julieta Notari Reis/ R Manoel Dias Do Campo",-23.487889,-46.672957
500001894,"R. Manoel Dias Do Campo, 242","Ref.: R Cesar Penha Ramos/ R Lavinio Salles Arcuri",-23.487467,-46.671990
500001895,"R. Manoel Dias Do Campo, 538","Ref.: R Bartolomeu Bermejo/ R Sem Nome",-23.485167,-46.670876
500001896,"R. Antônio Pinto Vieira, 1047","Ref.: R Domiciano Ribeiro/ R Eduardo Luis Trindade",-23.484072,-46.670565
500001897,"R. Eduardo Luís Trindade, 173","Ref.: R Antonio Pinto Vieira/ R Cascata Alegre",-23.483271,-46.670151
500001898,"Av. João Dos Santos Abreu, 159","Ref.: Tv Flor De Maracuja/ R Domiciano Ribeiro",-23.482107,-46.671887
500001899,"Av. João Dos Santos Abreu, 138","Ref.: R Domiciano Ribeiro/ Tv Flor De Maracuja",-23.482175,-46.671902
500001900,"Av. João Dos Santos Abreu","Av. João Dos Santos Abreu Ref.: Tv Flor De Maracuja/ R Domiciano Ribeiro",-23.482168,-46.672506
500001901,"R. Domiciano Ribeiro, 288","Ref.: R Antonio Pinto Vieira/ R Cascata Alegre",-23.484216,-46.671175
500001902,"R. Julieta Notari Reis, 33","Ref.: R Verissimo Da Mota/ R Nilceo Marques De Castro",-23.487675,-46.673126
500001903,"R. Julieta Notari Reis, 32","Ref.: R Nilceo Marques De Castro/ R Verissimo Da Mota",-23.487703,-46.673046
500001904,"R. Julieta Notari Reis, 264","Ref.: R Angelo Bonavita/ R Morro Alto",-23.485606,-46.672180
500001905,"R. Ângelo Bonavita, 125","Ref.: R Miguel Bartholomeu/ R Andrea Del Castagno",-23.484569,-46.672800
500001906,"R. Ângelo Bonavita, 84","Ref.: Av Dep. Emilio Carlos/ R Thomaz Antonio Villani",-23.484310,-46.673210
500001907,"Av. João Dos Santos Abreu, 401","Ref.: R Ambrosio Pare/ Tv Do Dialogo",-23.481797,-46.669348
500001908,"Av. João Dos Santos Abreu, 602","Ref.: R Cap. Fernando Machado/ Tv Do Dialogo",-23.481790,-46.668537
500001909,"Av. João Dos Santos Abreu, 650","Ref.: Rua Berta Morisot - Ubs Vila Espanhola",-23.481620,-46.667628
500001910,"Av. João Dos Santos Abreu, 770","Ref.: Rua Giorgio De Chirico / Tv Corupa",-23.482112,-46.665963
500001911,"Av. João Dos Santos Abreu, 817","Ref.: Tv Corupa/ R Giorgio De Chirico",-23.482239,-46.665397
500001912,"Av. Prof. Celestino Bourroul, 516","Ref.: R Con. Araujo Marcondes/ R Horacio De Moura",-23.509115,-46.673480
500001969,"Av. Mandaqui, 233","Ref.: R Josefina Goncalves/ R Nicolino Stoffa",-23.505481,-46.670589
500001970,"R. Cápua","Ref.: Av Professor Celestino Bourroul/ R Sebastiao De Moraes",-23.503880,-46.672191
500001971,"Av. Prof. Celestino Bourroul, 1018","Ref.: Pc Marco Antonio Primon Maeste/ Av Nossa Senhora Do O",-23.504701,-46.672774
